chromosome	start	end	length	is_cluster_in_ovary	is_cluster_in_fc	passed	ref_genome	total_reads_ovary	total_reads_fc	total_reads_cluster_ovary	total_reads_cluster_fc	cpm_ovary	cpm_fc	ovary_fc_factor
JAECYD010000049.1	3333184	3413798	80614	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	42530.0	116799.0	51.079.877.614.871.100	15.178.514.109.511.300	0.3365275233552866
JAECYD010000049.1	3696622	3739083	42461	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	15384.0	11292.0	18.476.671.460.784.800	14.674.421.983.458.900	12.591.072.739.772.500
JAECYD010000049.1	4869132	4904968	35836	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	14281.0	12891.0	17.151.933.510.885.800	16.752.388.752.104.900	10.238.500.171.344.600
JAECYD010000071.1	1021022	1118691	97669	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	8374.0	6213.0	10.057.439.340.393.300	8.074.050.990.367.530	12.456.497.181.392.600
JAECYD010000071.1	1582001	1887691	305690	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	124849.0	98915.0	14.994.760.499.268.800	1.285.441.419.140.840	11.665.067.171.470.900
JAECYD010000071.1	3316106	3356678	40572	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	20899.0	29365.0	2.510.036.121.027.960	3.816.103.449.736.720	0.6577484478836996
JAECYD010000073.1	25434298	25487919	53621	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1118.0	3153.0	134.275.342.519.224	4.097.454.172.320.750	0.3277043180282157
JAECYD010000073.1	25557284	26063062	505778	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	236239.0	388321.0	2.837.305.245.205.630	5.046.392.330.002.430	0.5622442845628418
JAECYD010000073.1	26412296	26489971	77675	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	23466.0	18940.0	2.818.340.954.880.240	24.613.314.945.688.200	11.450.472.888.756.300
JAECYD010000073.1	26866104	27069001	202897	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	22184.0	31683.0	2.664.368.692.707.030	4.117.337.156.410.980	0.6471096710062771
JAECYD010000079.1	13	74704	74691	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	18333.0	22727.0	2.201.851.390.344.300	2.953.467.839.338.210	0.7455139213019766
JAECYD010000081.1	742466	777585	35119	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	11664.0	6094.0	14.008.833.588.052.100	7.919.405.558.554.600	17.689.248.876.665.500
JAECYD010000081.1	1098563	1150945	52382	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	35795.0	20458.0	4.299.092.920.818.980	26.586.018.857.385.900	16.170.502.789.004.900
JAECYD010000107.1	10	87377	87367	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	15591.0	23055.0	1.872.528.501.983.200	29.960.927.986.950.500	0.6249901547771761
JAECYD010000107.1	179126	236008	56882	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3966.0	2793.0	4.763.291.667.542.410	3.629.619.252.550.540	1.312.339.211.391.170
JAECYD010000107.1	546027	592906	46879	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	31653.0	17971.0	3.801.625.596.387.290	2.335.405.928.664.010	16.278.221.913.061.800
JAECYD010000107.1	992070	1030099	38029	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	4807.0	2563.0	5.773.359.315.652.140	3.330.724.720.475.130	1.733.364.297.614.050
JAECYD010000135.1	13889544	13968811	79267	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	11220.0	20831.0	1.347.557.551.937.110	27.070.747.815.925.600	0.4977910329999632
JAECYD010000135.1	23800679	23843418	42739	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3813.0	4741.0	4.579.533.819.550.990	6.161.125.985.084.900	0.7432949481372901
JAECYD010000135.1	24869728	24910872	41144	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	367545.0	567844.0	4.414.331.911.111.640	737.936.811.616.653	0.5981991739158317
JAECYD010000135.1	26071705	26166974	95269	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	17944.0	100165.0	2.155.131.257.750.400	13.016.856.871.884.100	0.1655646427522294
JAECYD010000135.1	28542192	28607674	65482	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	68434.0	73604.0	8.219.140.241.467.420	9.565.144.842.990.700	0.8592802698111124
JAECYD010000135.1	30222791	30385008	162217	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	375663.0	245701.0	45.118.316.633.988.500	31.929.863.228.461.200	14.130.444.690.966.100
JAECYD010000135.1	30606470	30715889	109419	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	242846.0	95696.0	2.916.657.408.714.080	12.436.091.800.647.200	23.453.167.244.731.100
JAECYD010000135.1	31242302	31280761	38459	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1110.0	932.0	13.331.451.717.024.900	12.111.726.256.273.200	11.007.061.615.283.700
JAECYD010000135.1	31421942	31496539	74597	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	5580.0	6795.0	6.701.756.809.099.010	8.830.384.110.662.710	0.7589428415697826
JAECYD010000135.1	31588046	31630944	42898	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	10600.0	20788.0	12.730.935.873.915.600	27.014.867.533.842.000	0.4712566462881012
JAECYD010000150.1	6	59942	59936	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	16922.0	19696.0	20.323.858.194.188.800	25.595.768.277.205.700	0.7940319655217463
JAECYD010000150.1	266035	344257	78222	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	7322.0	12491.0	8.793.954.006.491.570	16.232.572.174.582.400	0.5417474145139767
JAECYD010000150.1	1558231	1756878	198647	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	71168.0	59186.0	8.547.502.304.479.540	7.691.465.989.311.010	11.112.968.992.332.700
JAECYD010000195.1	84	225813	225729	TRUE	FALSE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	111415.0	89030.0	1.338.129.453.200.290	11.569.817.474.206.000	11.565.691.992.838.600
JAECYD010000229.1	3142797	3181232	38435	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	6916.0	6688.0	8.306.335.141.886.880	8.691.333.176.175.450	0.955703224524412
JAECYD010000297.1	54	93169	93115	FALSE	TRUE	TRUE	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	84472.0	110305.0	10.145.354.859.824.500	14.334.591.895.903.600	0.7077533098604517
utg000002l	142141	189723	47582	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	13636.0	19200.0	1.638.952.157.164.400	2.493.212.488.709.120	0.6573656134752413
utg000002l	241026	331860	90834	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	15510.0	22316.0	1.864.193.895.396.000	2.897.840.098.855.870	0.6433046102619764
utg000002l	670932	887207	216275	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	42524.0	37344.0	5.111.088.407.983.220	48.492.982.905.392.400	10.539.851.545.026.000
utg000002l	1170023	1665948	495925	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	274790.0	450518.0	3.302.784.271.540.090	5.850.193.249.938.830	0.5645598581849621
utg000002l	1736121	1788547	52426	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	1919.0	6089.0	2.306.504.245.818.780	790.685.981.445.305	0.2917092625826876
utg000005l	1979687	2075970	96283	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	82085.0	115856.0	98.660.448.680.581	15.044.459.692.285.600	0.6557925688163546
utg000008l	960039	1001503	41464	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	3966.0	5211.0	4.766.855.570.045.490	6.766.734.520.137.100	0.7044543503014372
utg000008l	1111711	1170773	59062	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	6192.0	4234.0	7.442.352.417.983.280	5.498.052.956.872.090	13.536.341.822.028.000
utg000008l	1649055	1960006	310951	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	127183.0	98540.0	15.286.510.135.277.200	12.795.893.679.031.000	11.946.418.529.819.100
utg000008l	3424011	3465674	41663	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	17723.0	23843.0	2.130.181.070.799.700	30.961.284.045.985.200	0.6880144465700628
utg000008l	3641865	3679966	38101	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	9467.0	19660.0	11.378.674.150.686.000	25.529.457.045.844.400	0.4457076439288455
utg000008l	4146361	4229915	83554	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	5986.0	3414.0	719.475.477.617.053	4.433.243.456.485.910	16.229.099.183.904.400
utg000008l	4349032	4403662	54630	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	13612.0	23365.0	16.360.675.244.442.500	3.034.057.802.015.030	0.5392341317155137
utg000008l	4710191	4749872	39681	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	1692.0	1592.0	20.336.660.677.047.300	20.672.886.885.546.400	0.983735885057533
utg000008l	5279197	5388851	109654	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	190583.0	69590.0	22.906.748.237.669.600	903.659.672.339.937	25.348.866.325.256
utg000009l	4	52959	52955	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	11128.0	10725.0	13.375.080.379.088.800	1.392.692.913.614.860	0.960375417174528
utg000009l	174652	279927	105275	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	16507.0	9802.0	1.984.026.346.312.170	12.728.369.174.128.500	15.587.435.587.151.800
utg000009l	337006	402897	65891	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	6479.0	6928.0	7.787.306.414.101.040	8.996.341.730.092.080	0.8656081158025702
utg000009l	689571	742025	52454	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	34060.0	17065.0	4.093.774.602.010.820	22.159.724.541.573.500	18.473.941.742.058.000
utg000009l	1053264	1094011	40747	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	4268.0	3640.0	5.129.838.520.664.180	4.726.715.343.177.710	1.085.286.112.705.790
utg000009l	4222004	4298242	76238	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	44779.0	56747.0	538.212.369.064.718	7.368.871.307.123.780	0.7303864413324825
utg000010l	5485	70386	64901	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	24074.0	12120.0	28.935.270.043.690.100	15.738.403.834.976.300	18.385.136.349.968.100
utg000011l	1443183	1521785	78602	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	4854.0	5983.0	583.416.967.650.046	7.769.213.708.305.560	0.7509343796610364
utg000011l	1665545	1720797	55252	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	3333.0	3675.0	4.006.033.690.106.310	4.772.164.529.169.800	0.8394584188410669
utg000012l	7026	62963	55937	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	6846.0	3762.0	8.228.414.834.223.760	4.885.138.220.064.430	1.684.377.076.666.460
utg000013l	82260	181098	98838	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	25596.0	28736.0	3.076.460.796.038.430	3.731.508.024.767.980	0.8244550931200854
utg000013l	816042	880696	64654	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	3641.0	2647.0	4.376.228.222.525.370	3.437.257.009.173.460	12.731.745.722.958.600
utg000014l	24574	187960	163386	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	358493.0	238219.0	4.308.835.990.600.900	3.093.388.467.957.280	13.929.178.424.351.700
utg000015l	2575734	2627957	52223	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	46044.0	26155.0	553.416.787.360.501	33.963.527.417.805.700	16.294.443.758.817.700
utg000020l	4929065	4978001	48936	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	460.0	1121.0	5.528.879.380.284.730	14.556.724.999.181.900	0.3798161592388026
utg000023l	99142	166824	67682	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	11303.0	12892.0	13.585.418.181.599.600	16.740.883.023.144.800	0.811511445532316
utg000024l	13835	187357	173522	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	33123.0	67656.0	3.981.153.732.895.020	8.785.457.507.088.770	0.4531526934917996
utg000026l	554125	604484	50359	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	10938.0	11786.0	13.146.713.622.077.000	15.304.688.745.794.600	0.8589990845576293
utg000037l	195130	234876	39746	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	349924.0	547802.0	4.205.842.583.188.600	7.113.472.852.811.640	0.5912502472721487
utg000037l	1393020	1489522	96502	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	18409.0	103513.0	22.126.334.893.839.500	13.441.661.684.570.100	0.1646101160189037
utg000041l	849430	890950	41520	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	1830.0	2190.0	2.199.532.449.113.270	28.438.204.949.338.400	0.7734427869240191
utg000041l	10715584	10794805	79221	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	12600.0	21683.0	15.144.321.780.779.900	28.156.419.996.187.400	0.537863896860132
utg000042l	32758	74084	41326	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	24981.0	19688.0	3.002.542.082.584.630	2.556.581.639.463.810	11.744.362.222.730.900
utg000042l	1523894	1604936	81042	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	30832.0	89626.0	3.705.791.501.150.840	11.638.367.839.221.000	0.3184116151289199
utg000077l	163	71954	71791	TRUE	FALSE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	43621.0	25870.0	5.242.940.161.900.010	3.359.344.118.901.300	15.607.035.112.600.300
utg000102l	69	137049	136980	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	56729.0	76840.0	6.818.430.399.221.140	9.978.044.147.521.300	0.6833433785633178
utg000108l	1	44714	44713	FALSE	TRUE	TRUE	Dmoj_ref_d15	8319950.0	7700908.0	18973.0	45051.0	22.804.223.583.074.400	5.850.089.366.085.140	0.389809832910893
NW_025318636.1	10	87377	87367	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	15591.0	23055.0	1.872.528.501.983.200	29.960.927.986.950.500	0.6249901547771761
NW_025318636.1	179126	236008	56882	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3966.0	2793.0	4.763.291.667.542.410	3.629.619.252.550.540	1.312.339.211.391.170
NW_025318636.1	546027	592906	46879	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	31653.0	17971.0	3.801.625.596.387.290	2.335.405.928.664.010	16.278.221.913.061.800
NW_025318636.1	992070	1030099	38029	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	4807.0	2563.0	5.773.359.315.652.140	3.330.724.720.475.130	1.733.364.297.614.050
NW_025318667.1	13889544	13968811	79267	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	11220.0	20831.0	1.347.557.551.937.110	27.070.747.815.925.600	0.4977910329999632
NW_025318667.1	23800679	23843418	42739	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3813.0	4741.0	4.579.533.819.550.990	6.161.125.985.084.900	0.7432949481372901
NW_025318667.1	24869728	24910872	41144	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	367545.0	567844.0	4.414.331.911.111.640	737.936.811.616.653	0.5981991739158317
NW_025318667.1	26071705	26166974	95269	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	17944.0	100165.0	2.155.131.257.750.400	13.016.856.871.884.100	0.1655646427522294
NW_025318667.1	28542192	28607674	65482	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	68434.0	73604.0	8.219.140.241.467.420	9.565.144.842.990.700	0.8592802698111124
NW_025318667.1	30222791	30385008	162217	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	375663.0	245701.0	45.118.316.633.988.500	31.929.863.228.461.200	14.130.444.690.966.100
NW_025318667.1	30606470	30715889	109419	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	242846.0	95696.0	2.916.657.408.714.080	12.436.091.800.647.200	23.453.167.244.731.100
NW_025318667.1	31242302	31280761	38459	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1110.0	932.0	13.331.451.717.024.900	12.111.726.256.273.200	11.007.061.615.283.700
NW_025318667.1	31421942	31496539	74597	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	5580.0	6795.0	6.701.756.809.099.010	8.830.384.110.662.710	0.7589428415697826
NW_025318667.1	31588046	31630944	42898	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	10600.0	20788.0	12.730.935.873.915.600	27.014.867.533.842.000	0.4712566462881012
NW_025318684.1	6	59942	59936	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	16922.0	19696.0	20.323.858.194.188.800	25.595.768.277.205.700	0.7940319655217463
NW_025318684.1	266035	344257	78222	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	7322.0	12491.0	8.793.954.006.491.570	16.232.572.174.582.400	0.5417474145139767
NW_025318684.1	1558231	1756878	198647	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	71168.0	59186.0	8.547.502.304.479.540	7.691.465.989.311.010	11.112.968.992.332.700
NW_025318693.1	8519098	8565130	46032	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	414.0	1056.0	4.972.271.180.944.430	13.723.157.646.592.800	0.3623270466603539
NW_025318693.1	11168652	11265138	96486	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	81480.0	115487.0	9.786.006.179.308.020	15.008.014.272.083.900	0.6520520304615343
NW_025318726.1	2120649	2196668	76019	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	46110.0	58467.0	5.537.957.105.153.320	759.802.895.950.135	0.7288675964084212
NW_025318726.1	5327233	5368621	41388	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3889.0	3340.0	4.670.812.227.703.590	4.340.468.422.312.500	10.761.078.697.619.200
NW_025318726.1	5659036	5726931	67895	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	24321.0	14399.0	2.921.029.164.051.920	1.871.209.724.936.450	15.610.378.276.283.800
NW_025318726.1	6136110	6242794	106684	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	10478.0	7234.0	12.584.410.008.197.000	9.400.882.804.493.600	1.338.641.303.153.110
NW_025318726.1	6456782	6566857	110075	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	12096.0	9227.0	14.527.679.276.498.500	1.199.086.890.199.920	12.115.618.472.049.400
NW_025318733.1	84	225813	225729	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	111415.0	89030.0	1.338.129.453.200.290	11.569.817.474.206.000	11.565.691.992.838.600
NW_025318772.1	3142797	3181232	38435	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	6916.0	6688.0	8.306.335.141.886.880	8.691.333.176.175.450	0.955703224524412
NW_025318781.1	39434	86803	47369	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	16075.0	9027.0	1.930.658.435.596.170	11.730.960.613.238.000	16.457.803.407.996.100
NW_025318846.1	54	93169	93115	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	84472.0	110305.0	10.145.354.859.824.500	14.334.591.895.903.600	0.7077533098604517
NW_025318858.1	6904562	6951985	47423	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	20667.0	15191.0	24.821.721.859.076.900	19.741.334.072.859.000	12.573.477.439.502.200
NW_025318869.1	18	155283	155265	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	46039.0	19748.0	5.529.429.780.181.170	25.663.344.432.283.600	2.154.602.177.736.950
NW_025318872.1	3333184	3413798	80614	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	42530.0	116799.0	51.079.877.614.871.100	15.178.514.109.511.300	0.3365275233552866
NW_025318872.1	3696622	3739083	42461	FALSE	TRUE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	15384.0	11292.0	18.476.671.460.784.800	14.674.421.983.458.900	12.591.072.739.772.500
NW_025318872.1	4869132	4904968	35836	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	14281.0	12891.0	17.151.933.510.885.800	16.752.388.752.104.900	10.238.500.171.344.600
NW_025318897.1	1021022	1118691	97669	TRUE	FALSE	TRUE	Dmoj_ref_GCF_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	8374.0	6213.0	10.057.439.340.393.300	8.074.050.990.367.530	12.456.497.181.392.600
