chromosome	start	end	length	is_cluster_in_ovary	is_cluster_in_fc	passed	ref_genome	total_reads_ovary	total_reads_fc	total_reads_cluster_ovary	total_reads_cluster_fc	cpm_ovary	cpm_fc	ovary_fc_factor
JAECYD010000016.1	9284635	9301896	17261	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	570.0	816.0	68.45880611445232	106.04258181458091	0.6455784548338788
JAECYD010000016.1	9450101	9454378	4277	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	91.0	217.0	10.929388344588	28.20004933059321	0.3875662845997615
JAECYD010000016.1	9548851	9555388	6537	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	502.0	799.0	60.29179064816677	103.83336136011047	0.5806591432503599
JAECYD010000016.1	11168652	11265138	96486	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	81480.0	115487.0	9786.006179308026	15008.014272083952	0.6520520304615343
JAECYD010000016.1	11706830	11711655	4825	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1915.0	1865.0	229.9975679108354	242.36447926984485	0.9489739115390736
JAECYD010000019.1	26002	34040	8038	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1481.0	1371.0	177.87279272895418	178.1671319458216	0.998347960066187
JAECYD010000019.1	559075	563307	4232	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	661.0	867.0	79.38819445904032	112.67024317799222	0.7046065777423222
JAECYD010000019.1	679222	688386	9164	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	990.0	1667.0	118.90213693562772	216.6335586824833	0.5488629631473712
JAECYD010000019.1	867347	872010	4663	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	23.0	150.0	2.762372878302462	19.49312165709208	0.1417101338049384
JAECYD010000019.1	998132	1002346	4214	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	105.0	291.0	12.610832705293848	37.81665601475864	0.3334729728713252
JAECYD010000019.1	1307194	1314591	7397	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	964.0	1262.0	115.77945455145972	164.00213020833468	0.7059631140423792
JAECYD010000019.1	1383820	1388982	5162	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	6745.0	4099.0	810.0958723543524	532.6820378161362	1.520786913851167
JAECYD010000019.1	1575599	1585155	9556	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2400.0	1873.0	288.2476046924308	243.4041124248897	1.1842347354808107
JAECYD010000019.1	2120649	2196666	76017	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	46110.0	58467.0	5537.957105153327	7598.02895950135	0.7288675964084212
JAECYD010000019.1	2262133	2289198	27065	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	7929.0	41805.0	952.2980240026184	5432.733005831562	0.175288942596739
JAECYD010000019.1	3132360	3139635	7275	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	211.0	380.0	25.341768579209543	49.38257486463326	0.5131722808840162
JAECYD010000019.1	3588902	3610479	21577	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3603.0	1329.0	432.73171654451176	172.7090578818358	2.5055531067778647
JAECYD010000019.1	5269477	5278988	9511	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	164.0	179.0	19.69691965398277	23.26179184412988	0.8467498886571497
JAECYD010000019.1	5327233	5368621	41388	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3889.0	3340.0	467.0812227703597	434.0468422312503	1.0761078697619215
JAECYD010000019.1	5465382	5478009	12627	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	722.0	463.0	86.71448774497293	60.16876884822422	1.4411876693656525
JAECYD010000019.1	5659036	5726931	67895	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	24321.0	14399.0	2921.029164051921	1871.209724936459	1.5610378276283867
JAECYD010000019.1	5789011	5822006	32995	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	7509.0	6498.0	901.8546931814428	844.4420301852289	1.067988874243529
JAECYD010000019.1	6136110	6242794	106684	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	10478.0	7234.0	1258.4410008197042	940.0882804493606	1.338641303153116
JAECYD010000019.1	6456782	6566857	110075	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	12096.0	9227.0	1452.7679276498511	1199.086890199924	1.2115618472049434
JAECYD010000024.1	39434	86803	47369	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	16075.0	9027.0	1930.658435596177	1173.0960613238012	1.6457803407996197
JAECYD010000030.1	35	22833	22798	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	13629.0	10482.0	1636.886085147141	1362.1793413975945	1.2016670899352342
JAECYD010000036.1	1852731	1856701	3970	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1791.0	907.0	215.1047750017265	117.86840895321676	1.8249569745792007
JAECYD010000036.1	2776450	2782485	6035	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1761.0	2028.0	211.5016799430711	263.5470048038849	0.802519763411682
JAECYD010000036.1	2948075	2956539	8464	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	138.0	353.0	16.57423726981477	45.87381296635669	0.3613006244318544
JAECYD010000036.1	3430798	3437689	6891	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1092.0	1427.0	131.152660135056	185.444564031136	0.7072337807272453
JAECYD010000036.1	4592427	4598927	6500	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	761.0	1203.0	91.39851132122492	156.33483568987847	0.5846330468695552
JAECYD010000036.1	4837171	4843603	6432	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	493.0	839.0	59.21086213057016	109.03152713533504	0.5430618435443436
JAECYD010000036.1	5491007	5497904	6897	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	32.0	225.0	3.843301395899077	29.23968248563812	0.1314412835292182
JAECYD010000036.1	6467282	6475890	8608	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	376.0	558.0	45.15879140181416	72.51441256438254	0.6227560812372236
JAECYD010000036.1	6632110	6640071	7961	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	770.0	705.0	92.47943983882156	91.61767178833276	1.0094061334856854
JAECYD010000036.1	6904562	6951985	47423	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	20667.0	15191.0	2482.1721859076947	1974.1334072859047	1.2573477439502203
JAECYD010000036.1	7473188	7480782	7594	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	383.0	594.0	45.99951358216708	77.19276176208463	0.5959044932728528
JAECYD010000036.1	10438466	10444825	6359	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1580.0	4296.0	189.76300642251687	558.2830042591171	0.3399046809142014
JAECYD010000036.1	11310858	11317348	6490	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	822.0	1314.0	98.72480460715757	170.75974571612662	0.5781503374412319
JAECYD010000036.1	11571273	11576619	5346	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	7299.0	6743.0	876.6330277708552	876.2807955584792	1.0004019627203533
JAECYD010000036.1	12194082	12217095	23013	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2805.0	4204.0	336.88938798427847	546.3272229761006	0.6166439705293907
JAECYD010000036.1	13048465	13052826	4361	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	6328.0	4417.0	760.0128510390425	574.0074557291714	1.3240470022703543
JAECYD010000036.1	19279047	19284655	5608	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	333.0	4927.0	39.99435515107477	640.2840693632845	0.0624634549956025
JAECYD010000036.1	20449586	20455976	6390	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	536.0	1006.0	64.37529838130955	130.73386924689754	0.4924148482114725
JAECYD010000036.1	21504538	21510568	6030	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3925.0	1957.0	471.4049368407462	254.32026055286133	1.8535878180368688
JAECYD010000036.1	22379040	22386433	7393	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	5256.0	3223.0	631.2622542764234	418.8422073387185	1.507160078940947
JAECYD010000036.1	24876373	24882596	6223	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	534.0	874.0	64.13509204406586	113.57992218865652	0.5646692725985261
JAECYD010000046.1	18	155283	155265	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	46039.0	19748.0	5529.429780181175	2566.3344432283625	2.154602177736951
JAECYD010000049.1	115493	122711	7218	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1551.0	4497.0	186.2800145324834	584.4037872796205	0.3187522370442027
JAECYD010000049.1	682823	690936	8113	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1083.0	1389.0	130.0717316174594	180.50630654467264	0.7205938346828262
JAECYD010000049.1	1865745	1870864	5119	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	11312.0	6738.0	1358.6070434503238	875.6310248365762	1.551574812808726
JAECYD010000049.1	2168871	2175932	7061	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	762.0	587.0	91.51861448984678	76.28308275142034	1.1997235978004936
JAECYD010000049.1	2946515	2951382	4867	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2963.0	1731.0	355.8656886265302	224.9506239228426	1.5819724454224722
JAECYD010000049.1	3333184	3413798	80614	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	42530.0	116799.0	5107.9877614871175	15178.514109511318	0.3365275233552866
JAECYD010000049.1	3696622	3739083	42461	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	15384.0	11292.0	1847.6671460784808	1467.4421983458917	1.2591072739772518
JAECYD010000049.1	3986698	3994011	7313	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	908.0	1364.0	109.05367710863632	177.2574529351573	0.6152275986303907
JAECYD010000049.1	4317737	4342414	24677	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2921.0	2558.0	350.82135554441265	332.42270132561026	1.0553471653573403
JAECYD010000049.1	4796231	4820866	24635	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2924.0	1637.0	351.1816650502782	212.73493435106488	1.6507945256924386
JAECYD010000049.1	4869132	4904968	35836	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	14281.0	12891.0	1715.1933510885851	1675.2388752104932	1.0238500171344649
JAECYD010000058.1	458	13284	12826	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1222.0	567.0	146.76607205589602	73.68399986380805	1.9918309582428664
JAECYD010000060.1	1252	24222	22970	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	5089.0	4675.0	611.2050251165751	607.5356249793698	1.006039810648684
JAECYD010000065.1	158345	165083	6738	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	548.0	496.0	65.8165364047717	64.45725561278448	1.021088095964756
JAECYD010000071.1	1021022	1118691	97669	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	8374.0	6213.0	1005.7439340393398	807.4050990367539	1.2456497181392674
JAECYD010000071.1	1582001	1887691	305690	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	124849.0	98915.0	14994.760499268872	12854.41419140842	1.1665067171470955
JAECYD010000071.1	3153004	3161965	8961	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	277.0	508.0	33.268577708251385	66.01670534535184	0.503941805853748
JAECYD010000071.1	3316106	3356678	40572	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	20899.0	29365.0	2510.036121027963	3816.103449736726	0.6577484478836996
JAECYD010000071.1	3420440	3429003	8563	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	158.0	220.0	18.976300642251694	28.58991176373505	0.6637411405488223
JAECYD010000071.1	3534203	3568995	34792	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	12416.0	25790.0	1491.200941608842	3351.5173835760315	0.4449330768553995
JAECYD010000073.1	336402	341602	5200	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2751.0	2521.0	330.4038168786988	327.6143979835275	1.0085143354881234
JAECYD010000073.1	717136	721876	4740	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	940.0	478.0	112.8969785045354	62.11808101393343	1.8174576011002648
JAECYD010000073.1	1841409	1846604	5195	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	30.0	206.0	3.603095058655385	26.770553742406456	0.134591726914779
JAECYD010000073.1	4512103	4518985	6882	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	882.0	1367.0	105.93099472446832	177.64731536829913	0.5962994402974892
JAECYD010000073.1	5680364	5687606	7242	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	142.0	336.0	17.054649944302156	43.664592511886255	0.390583055130071
JAECYD010000073.1	9951696	9956662	4966	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	11258.0	7256.0	1352.1214723447442	942.9472716257342	1.4339311571616866
JAECYD010000073.1	10464995	10475188	10193	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1043.0	2862.0	125.26760487258557	371.9287612173168	0.3368053722508222
JAECYD010000073.1	12666171	12673029	6858	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	798.0	672.0	95.84232856023324	87.32918502377251	1.097483373217594
JAECYD010000073.1	15410222	15416230	6008	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	237.0	422.0	28.46445096337754	54.840648928619046	0.5190392805239606
JAECYD010000073.1	15521548	15528100	6552	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	394.0	581.0	47.32064843700739	75.50335788513665	0.6267356811997203
JAECYD010000073.1	16504764	16515424	10660	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2168.0	3712.0	260.3836695721625	482.3897839408386	0.5397785737603774
JAECYD010000073.1	16579854	16586747	6893	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	913.0	1517.0	109.65419295174554	197.1404370253912	0.5562237489491938
JAECYD010000073.1	17437556	17441140	3584	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	689.0	381.0	82.75108318045201	49.51252900901388	1.6713160251900476
JAECYD010000073.1	17490307	17497907	7600	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	942.0	1257.0	113.13718484177907	163.35235948643162	0.6925959637037045
JAECYD010000073.1	21234293	21241607	7314	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1880.0	3063.0	225.7939570090708	398.0495442378202	0.567250886925189
JAECYD010000073.1	21562318	21569760	7442	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2137.0	4132.0	256.66047134488525	536.9705245806964	0.4779786964010798
JAECYD010000073.1	22976080	22989557	13477	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	7563.0	4811.0	908.3402642870226	625.2093886151333	1.4528576838857727
JAECYD010000073.1	24189527	24202976	13449	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2389.0	1982.0	286.9264698375905	257.56911416237665	1.113978555894347
JAECYD010000073.1	24299755	24304384	4629	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	5985.0	3682.0	718.8174642017493	478.4911596094202	1.502258609727505
JAECYD010000073.1	24567832	24571782	3950	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	728.0	278.0	87.435106756704	36.12725213781065	2.420198093759662
JAECYD010000073.1	24764124	24771146	7022	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	852.0	615.0	102.32789966581294	79.92179879407752	1.2803503075483305
JAECYD010000073.1	25047711	25052960	5249	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	4723.0	2780.0	567.2472654009795	361.27252137810655	1.5701367578058905
JAECYD010000073.1	25434298	25487919	53621	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1118.0	3153.0	134.275342519224	409.7454172320755	0.3277043180282157
JAECYD010000073.1	25557284	26063060	505776	True	False	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	236239.0	388321.0	28373.05245205632	50463.92330002436	0.5622442845628418
JAECYD010000073.1	26335759	26360903	25144	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	14536.0	8783.0	1745.819659087156	1141.3872500949317	1.5295594540257504
JAECYD010000073.1	26412296	26489968	77672	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	23466.0	18940.0	2818.340954880242	2461.3314945688267	1.1450472888756318
JAECYD010000073.1	26533154	26552376	19222	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	3219.0	6949.0	386.6120997937228	903.0513493008856	0.4281175152365653
JAECYD010000073.1	26866104	27069001	202897	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	22184.0	31683.0	2664.368692707036	4117.337156410988	0.6471096710062771
JAECYD010000079.1	13	74704	74691	False	True	True	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	18333.0	22727.0	2201.851390344306	2953.467839338211	0.7455139213019766
JAECYD010000079.1	154926	160382	5456	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	4106.0	4568.0	493.1436103613004	593.6305315306441	0.830724809739412
JAECYD010000079.1	437574	444165	6591	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	428.0	443.0	51.40415617015016	57.56968596061194	0.8929031887601382
JAECYD010000079.1	3590258	3595234	4976	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	65.0	199.0	7.80670596042	25.86087473174216	0.3018732367485579
JAECYD010000079.1	4464277	4471382	7105	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	151.0	192.0	18.13557846189877	24.95119572107786	0.7268420585783189
JAECYD010000079.1	4570781	4580128	9347	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	432.0	518.0	51.88456884463754	67.31624678915797	0.7707584917374527
JAECYD010000079.1	4932338	4942430	10092	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1123.0	4725.0	134.87585836233325	614.0333321984004	0.2196555973263573
JAECYD010000079.1	7109010	7119198	10188	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2178.0	3709.0	261.58470125838096	481.9999215076968	0.54270693746203
JAECYD010000079.1	10180117	10188643	8526	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	883.0	1329.0	106.05109789309016	172.7090578818358	0.6140447941395655
JAECYD010000079.1	10914609	10921545	6936	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	359.0	237.0	43.11703753524277	30.79913221820548	1.3999432591076748
JAECYD010000079.1	11124892	11132969	8077	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	794.0	759.0	95.36191588574586	98.63519558488592	0.9668142828761052
JAECYD010000079.1	11473628	11479752	6124	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1243.0	453.0	149.28823859695478	58.86922740441808	2.5359299786861285
JAECYD010000079.1	15560269	15569459	9190	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	391.0	531.0	46.96033893114185	69.00565066610596	0.6805288911536591
JAECYD010000080.1	292353	301112	8759	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2344.0	3677.0	281.52182724960744	477.8413888875172	0.5891532918591049
JAECYD010000080.1	420693	428305	7612	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1263.0	1451.0	151.6903019693917	188.5634634962707	0.8044522473060733
JAECYD010000080.1	832142	836564	4422	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2423.0	1451.0	291.00997757073327	188.5634634962707	1.5432999170408677
JAECYD010000080.1	1536448	1539785	3337	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	242.0	617.0	29.064966806486773	80.18170708283876	0.3624887504135907
JAECYD010000080.1	2217504	2224007	6503	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	830.0	1190.0	99.68562995613232	154.6454318129305	0.6446076601649556
JAECYD010000080.1	2504443	2530251	25808	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	1126.0	1669.0	135.23616786819878	216.8934669712445	0.6235142522117931
JAECYD010000080.1	3941956	3949179	7223	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	625.0	1576.0	75.06448038865385	204.80773154384744	0.3665119467063832
JAECYD010000080.1	4660881	4667820	6939	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	459.0	333.0	55.12735439742739	43.27473007874441	1.2738925071771787
JAECYD010000080.1	7982271	7990347	8076	False	True	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	2068.0	3713.0	248.3733527099779	482.5197380852193	0.5147423682512898
JAECYD010000081.1	582140	598638	16498	True	False	False	Dmoj_ref_GCA_018153725.1_ASM1815372v1_genomic	8326175.0	7695022.0	983.0	1389.0	118.06141475527478	180.50630654467264	0.6540570078423068
